SampleID,SubRegion,Region,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Elevation,El_er_max,El_er_min,Age,Age_er_max,Age_er_min,Type,Interc,Indicator,Region,CoralTaxa,Remove
MBH1/01,Ningaloo Reef,Australia,-21.959,114.148,-0.86,1.829781408,1.829672102,0,0,0,6681,23,23,0,0,1,6,0,0
MBH1/03,Ningaloo Reef,Australia,-21.959,114.148,-1.39,1.448481964,1.448343882,0,0,0,7253,86,86,0,0,1,6,0,0
MBH1/06,Ningaloo Reef,Australia,-21.959,114.148,-3.83,1.448481964,1.448343882,0,0,0,7500,23,23,0,0,1,6,0,0
MBH2/01,Ningaloo Reef,Australia,-21.959,114.147,1.34,1.448481964,1.448343882,0,0,0,6427,62,62,0,0,1,6,0,0
MBH2/03,Ningaloo Reef,Australia,-21.959,114.147,-2.01,1.448481964,1.448343882,0,0,0,7498,80,80,0,0,1,6,0,0
MBH3/01,Ningaloo Reef,Australia,-21.959,114.146,1.01,1.448481964,1.448343882,0,0,0,6336,161,161,0,0,1,6,0,0
MBH3/03,Ningaloo Reef,Australia,-21.959,114.146,-2.34,1.047902667,1.047711792,0,0,0,6998,30,30,0,0,1,6,0,0
MBH4/02,Ningaloo Reef,Australia,-21.959,114.145,-1.11,1.448481964,1.448343882,0,0,0,7143,46,46,0,0,1,6,0,0
MBH4/03,Ningaloo Reef,Australia,-21.959,114.145,-2.81,1.448481964,1.448343882,0,0,0,7929,318,318,0,0,1,6,0,0
MBH5/01,Ningaloo Reef,Australia,-21.959,114.145,-0.55,1.448481964,1.448343882,0,0,0,7000,24,24,0,0,1,6,0,0
MBH5/02,Ningaloo Reef,Australia,-21.959,114.145,-2.7,1.448481964,1.448343882,0,0,0,7562,35,35,0,0,1,6,0,0
MBH6/01,Ningaloo Reef,Australia,-21.959,114.144,0.94,1.448481964,1.448343882,0,0,0,5800,76,76,0,0,1,6,0,0
MBH6/02,Ningaloo Reef,Australia,-21.959,114.144,-0.49,1.448481964,1.448343882,0,0,0,6779,44,44,0,0,1,6,0,0
MBH6/05,Ningaloo Reef,Australia,-21.959,114.144,-2.61,1.448481964,1.448343882,0,0,0,7165,51,51,0,0,1,6,0,0
MBH11/01,Ningaloo Reef,Australia,-21.957,114.143,0.27,1.829781408,1.829672102,0,0,0,6519,24,24,0,0,1,6,0,0
MBH11/02,Ningaloo Reef,Australia,-21.957,114.143,0.47,1.448481964,1.448343882,0,0,0,7045,42,42,0,0,1,6,0,0
UGAMS10417,Ashburton Delta,Australia,-21.708,114.905,-6.42,0.176068169,0.176068169,0,0,0,7545,108,112,-1,0,1,6,0,0
UGAMS10492,North West Cape,Australia,-21.841,114.048,1.04,0.176068169,0.176068169,0,0,0,5464,109,130,-1,0,1,6,0,0
OSL 21-1,Exmouth Gulf,Australia,-22.586,114.123,3.29,0.266458252,0.266458252,0,0,0,31,5,5,1,0,1,6,0,0
OSL 21-2,Exmouth Gulf,Australia,-22.586,114.123,2.63,0.266458252,0.266458252,0,0,0,113,10,10,1,0,1,6,0,0
OSL 21-3,Exmouth Gulf,Australia,-22.586,114.123,2.76,0.266458252,0.266458252,0,0,0,117,11,11,1,0,1,6,0,0
OSL 21-4,Exmouth Gulf,Australia,-22.586,114.123,2.76,0.266458252,0.266458252,0,0,0,106,12,12,1,0,1,6,0,0
OSL 21-5,Exmouth Gulf,Australia,-22.586,114.123,2.46,0.266458252,0.266458252,0,0,0,207,44,44,1,0,1,6,0,0
OSL 30-1,Exmouth Gulf,Australia,-22.586,114.123,3.83,0.266458252,0.266458252,0,0,0,586,50,50,1,0,1,6,0,0
OSL 30-2,Exmouth Gulf,Australia,-22.586,114.123,3.41295,0.842970974,0.842970974,0,0,0,5989,430,430,0,0,1,6,0,0
OSL 19-2,Exmouth Gulf,Australia,-22.586,114.123,3.72,0.266458252,0.266458252,0,0,0,1228,59,59,1,0,1,6,0,0
OSL 19-1,Exmouth Gulf,Australia,-22.586,114.123,3.72,0.266458252,0.266458252,0,0,0,1226,78,78,1,0,1,6,0,0
OSL 31-1,Exmouth Gulf,Australia,-22.586,114.123,3.3,0.266458252,0.266458252,0,0,0,2110,143,143,1,0,1,6,0,0
